Player_ID,Age,Daily_Play_Time_Min,Reached_Level,Total_Spend_Euro,Left_The_Game
P1,21,35,3,0,Yes
P2,28,72,6,14.99,No
P3,34,48,5,4.99,No
P4,19,25,2,0,Yes
P5,42,95,8,39.99,No
P6,26,61,5,9.99,No
P7,31,44,4,0,Yes
P8,23,88,7,24.99,No
P9,37,29,3,4.99,Yes
P10,29,110,9,59.99,No
P11,45,18,2,0,Yes
P12,24,53,5,7.99,No
P13,33,67,6,19.99,No
P14,20,31,3,0,Yes
P15,39,82,7,29.99,No
P16,27,46,4,5.99,No
P17,22,22,2,0,Yes
P18,35,91,8,44.99,No
P19,30,58,5,12.99,No
P20,41,36,4,0,Yes
P21,25,76,6,17.99,No
P22,32,42,4,2.99,Yes
P23,18,15,1,0,Yes
P24,38,103,9,69.99,No
P25,29,64,6,14.99,No
P26,43,27,3,0,Yes
P27,21,57,5,8.99,No
P28,36,73,7,34.99,No
P29,27,39,4,0,Yes
P30,44,120,10,89.99,No
P31,23,68,6,11.99,No
P32,31,33,3,0,Yes
P33,26,84,7,24.99,No
P34,40,51,5,6.99,No
P35,19,19,2,0,Yes
P36,34,97,8,49.99,No
P37,28,62,6,9.99,No
P38,42,41,4,3.99,Yes
P39,24,74,7,19.99,No
P40,37,30,3,0,Yes
P41,22,55,5,7.99,No
P42,33,89,8,39.99,No
P43,45,24,2,0,Yes
P44,30,70,6,16.99,No
P45,35,47,5,4.99,No
P46,20,28,2,0,Yes
P47,39,108,9,74.99,No
P48,27,59,5,10.99,No
P49,32,34,3,0,Yes
P50,25,79,7,21.99,No
P51,41,52,5,5.99,No
P52,18,12,1,0,Yes
P53,29,93,8,44.99,No
P54,36,66,6,13.99,No
P55,23,37,4,0,Yes
P56,43,86,8,34.99,No
P57,31,49,5,6.99,No
P58,26,21,2,0,Yes
P59,38,115,10,99.99,No
P60,22,63,6,14.99,No
P61,34,32,3,0,Yes
P62,28,78,7,26.99,No
P63,40,56,5,8.99,No
P64,19,17,1,0,Yes
P65,45,101,9,64.99,No
P66,24,45,4,3.99,Yes
P67,33,69,6,18.99,No
P68,27,83,7,22.99,No
P69,21,26,2,0,Yes
P70,37,94,8,54.99,No
P71,30,61,6,12.99,No
P72,42,38,4,0,Yes
P73,25,71,6,15.99,No
P74,35,50,5,5.99,No
P75,20,23,2,0,Yes
P76,39,99,9,59.99,No
P77,28,43,4,4.99,Yes
P78,32,87,8,31.99,No
P79,44,35,3,0,Yes
P80,23,77,7,23.99,No
P81,36,54,5,9.99,No
P82,29,20,2,0,Yes
P83,41,112,10,84.99,No
P84,26,65,6,13.99,No
P85,18,16,1,0,Yes
P86,34,81,7,27.99,No
P87,31,46,4,2.99,Yes
P88,43,92,8,42.99,No
P89,22,60,5,7.99,No
P90,38,40,4,0,Yes
P91,27,75,7,19.99,No
P92,33,57,5,6.99,No
P93,24,29,3,0,Yes
P94,40,105,9,69.99,No
P95,30,52,5,8.99,No
P96,19,14,1,0,Yes
P97,37,85,8,37.99,No
P98,25,48,4,4.99,Yes
P99,42,98,9,54.99,No
P100,32,63,6,11.99,No
